grid,area,logArea,logWV,perWV,WVclass,count_2,count_3,count_4,MaxTrophicPosition,MeanTrophicLevel,biomass_2,biomass_3,biomass_4,trophLevel,richness
155,0.33,2.1043366598147357,1.807354922057604,75.75757575757575,2,2,8,5,3.9,3.146666666666667,1039.22,2626,3613.17,richness_2,1
155,0.33,2.1043366598147357,1.807354922057604,75.75757575757575,2,2,8,5,3.9,3.146666666666667,1039.22,2626,3613.17,richness_3,4
155,0.33,2.1043366598147357,1.807354922057604,75.75757575757575,2,2,8,5,3.9,3.146666666666667,1039.22,2626,3613.17,richness_4,3
85,0.8300000000000001,3.2172307162206693,2.608809242675524,61.44578313253012,1,16,296,50,4,3.05,12685.5,128078.71,123867.25,richness_2,3
85,0.8300000000000001,3.2172307162206693,2.608809242675524,61.44578313253012,1,16,296,50,4,3.05,12685.5,128078.71,123867.25,richness_3,13
85,0.8300000000000001,3.2172307162206693,2.608809242675524,61.44578313253012,1,16,296,50,4,3.05,12685.5,128078.71,123867.25,richness_4,5
88,8.39,6.407692648665677,4.026800059343715,18.235995232419548,0,0,13,5,3.8,3.316666666666667,0,5173.28,3361.4300000000003,richness_2,0
88,8.39,6.407692648665677,4.026800059343715,18.235995232419548,0,0,13,5,3.8,3.316666666666667,0,5173.28,3361.4300000000003,richness_3,5
88,8.39,6.407692648665677,4.026800059343715,18.235995232419548,0,0,13,5,3.8,3.316666666666667,0,5173.28,3361.4300000000003,richness_4,4
132,2.631,4.7713574089905615,2.0738202332916713,12.200684150513112,0,22,25,5,4,2.7173076923076924,21883.370000000003,4905.299999999999,664.95,richness_2,2
132,2.631,4.7713574089905615,2.0738202332916713,12.200684150513112,0,22,25,5,4,2.7173076923076924,21883.370000000003,4905.299999999999,664.95,richness_3,4
132,2.631,4.7713574089905615,2.0738202332916713,12.200684150513112,0,22,25,5,4,2.7173076923076924,21883.370000000003,4905.299999999999,664.95,richness_4,4
89,10.964,6.789729251375769,5.397118409042582,37.52280189711784,1,5,8,17,4,3.286666666666666,1393.88,1577.46,16984.780000000002,richness_2,2
89,10.964,6.789729251375769,5.397118409042582,37.52280189711784,1,5,8,17,4,3.286666666666666,1393.88,1577.46,16984.780000000002,richness_3,4
89,10.964,6.789729251375769,5.397118409042582,37.52280189711784,1,5,8,17,4,3.286666666666666,1393.88,1577.46,16984.780000000002,richness_4,6
71,4.3919999999999995,5.489286022625876,4.046141781644721,35.336976320582885,1,17,30,23,4,3.192857142857143,12537.08,9607.99,15699.99,richness_2,2
71,4.3919999999999995,5.489286022625876,4.046141781644721,35.336976320582885,1,17,30,23,4,3.192857142857143,12537.08,9607.99,15699.99,richness_3,9
71,4.3919999999999995,5.489286022625876,4.046141781644721,35.336976320582885,1,17,30,23,4,3.192857142857143,12537.08,9607.99,15699.99,richness_4,9
91,7.482,6.2445065513959195,3.9240998856407416,18.95215183106121,0,15,35,13,4,3.0253968253968253,37313.88,17520.96,10093.83,richness_2,2
91,7.482,6.2445065513959195,3.9240998856407416,18.95215183106121,0,15,35,13,4,3.0253968253968253,37313.88,17520.96,10093.83,richness_3,9
91,7.482,6.2445065513959195,3.9240998856407416,18.95215183106121,0,15,35,13,4,3.0253968253968253,37313.88,17520.96,10093.83,richness_4,6
6,4.888,5.640389560054945,5.516645557780962,91.61211129296235,2,8,9,6,4,3.108695652173913,4953.28,2035,3199.48,richness_2,2
6,4.888,5.640389560054945,5.516645557780962,91.61211129296235,2,8,9,6,4,3.108695652173913,4953.28,2035,3199.48,richness_3,3
6,4.888,5.640389560054945,5.516645557780962,91.61211129296235,2,8,9,6,4,3.108695652173913,4953.28,2035,3199.48,richness_4,2
12,0.21,1.632268215499513,0.13750352374993502,4.761904761904762,0,0,6,3,3.8,3.2333333333333334,0,12751.08,4142.7300000000005,richness_2,0
12,0.21,1.632268215499513,0.13750352374993502,4.761904761904762,0,0,6,3,3.8,3.2333333333333334,0,12751.08,4142.7300000000005,richness_3,4
