grid,area,logArea,logWV,perWV,WVclass,count_2,count_3,count_4,MaxTrophicPosition,MeanTrophicLevel,biomass_2,biomass_3,biomass_4,trophLevel,richness
85,1.333,3.840966704487421,2.485426827170242,34.5086271567892,1,0,5,6,4,3.436363636363636,0,762.64,4443.38,richness_2,0
85,1.333,3.840966704487421,2.485426827170242,34.5086271567892,1,0,5,6,4,3.436363636363636,0,762.64,4443.38,richness_3,4
85,1.333,3.840966704487421,2.485426827170242,34.5086271567892,1,0,5,6,4,3.436363636363636,0,762.64,4443.38,richness_4,4
88,11.089,6.8059372931571,4.049630767724601,14.031923527820364,0,0,7,5,3.8,3.358333333333334,0,2313,2561.98,richness_2,0
88,11.089,6.8059372931571,4.049630767724601,14.031923527820364,0,0,7,5,3.8,3.358333333333334,0,2313,2561.98,richness_3,4
88,11.089,6.8059372931571,4.049630767724601,14.031923527820364,0,0,7,5,3.8,3.358333333333334,0,2313,2561.98,richness_4,3
132,4.1000000000000005,5.392317422778761,2.9068905956085187,15.853658536585364,0,0,30,5,4,3.128571428571429,0,5430,1456.77,richness_2,0
132,4.1000000000000005,5.392317422778761,2.9068905956085187,15.853658536585364,0,0,30,5,4,3.128571428571429,0,5430,1456.77,richness_3,1
132,4.1000000000000005,5.392317422778761,2.9068905956085187,15.853658536585364,0,0,30,5,4,3.128571428571429,0,5430,1456.77,richness_4,3
89,11.752,6.888986721186558,5.130519083027338,28.956773315180396,0,3,19,11,4,3.3000000000000003,465,11988.82,6457.06,richness_2,1
89,11.752,6.888986721186558,5.130519083027338,28.956773315180396,0,3,19,11,4,3.3000000000000003,465,11988.82,6457.06,richness_3,8
89,11.752,6.888986721186558,5.130519083027338,28.956773315180396,0,3,19,11,4,3.3000000000000003,465,11988.82,6457.06,richness_4,4
71,5.151,5.714520290553514,3.8509993947164736,26.072607260726073,0,0,7,8,4,3.393333333333333,0,1712.63,1251.97,richness_2,0
71,5.151,5.714520290553514,3.8509993947164736,26.072607260726073,0,0,7,8,4,3.393333333333333,0,1712.63,1251.97,richness_3,4
71,5.151,5.714520290553514,3.8509993947164736,26.072607260726073,0,0,7,8,4,3.393333333333333,0,1712.63,1251.97,richness_4,6
91,7.617,6.269968200633338,3.982765462583646,19.443350400420115,0,124,73,34,4,2.777056277056277,314438.88,22096.09,23001.18,richness_2,3
91,7.617,6.269968200633338,3.982765462583646,19.443350400420115,0,124,73,34,4,2.777056277056277,314438.88,22096.09,23001.18,richness_3,10
91,7.617,6.269968200633338,3.982765462583646,19.443350400420115,0,124,73,34,4,2.777056277056277,314438.88,22096.09,23001.18,richness_4,5
6,4.6,5.554588851677638,5.542258049766918,99.13043478260867,2,20,11,4,4,2.7742857142857145,9907.68,2632.89,2409.14,richness_2,2
6,4.6,5.554588851677638,5.542258049766918,99.13043478260867,2,20,11,4,4,2.7742857142857145,9907.68,2632.89,2409.14,richness_3,3
6,4.6,5.554588851677638,5.542258049766918,99.13043478260867,2,20,11,4,4,2.7742857142857145,9907.68,2632.89,2409.14,richness_4,3
12,6.289,5.997518234519788,5.645586385913607,78.00922245190014,2,14,23,7,4,2.9545454545454546,9332.44,5707.89,5099.21,richness_2,3
12,6.289,5.997518234519788,5.645586385913607,78.00922245190014,2,14,23,7,4,2.9545454545454546,9332.44,5707.89,5099.21,richness_3,7
12,6.289,5.997518234519788,5.645586385913607,78.00922245190014,2,14,23,7,4,2.9545454545454546,9332.44,5707.89,5099.21,richness_4,5
49,41.2,8.689997971419444,6.777419715515831,26.38349514563107,0,4,9,11,4,3.3708333333333336,3095.52,3467.4,4302.55,richness_2,1
49,41.2,8.689997971419444,6.777419715515831,26.38349514563107,0,4,9,11,4,3.3708333333333336,3095.52,3467.4,4302.55,richness_3,5
49,41.2,8.689997971419444,6.777419715515831,26.38349514563107,0,4,9,11,4,3.3708333333333336,3095.52,3467.4,4302.55,richness_4,5
245,1.129,3.619413010597937,2.825785627464791,53.94154118689105,1,71,44,77,4,3.1520833333333336,119451.72,21803.09,51660.68,richness_2,3
245,1.129,3.619413010597937,2.825785627464791,53.94154118689105,1,71,44,77,4,3.1520833333333336,119451.72,21803.09,51660.68,richness_3,8
245,1.129,3.619413010597937,2.825785627464791,53.94154118689105,1,71,44,77,4,3.1520833333333336,119451.72,21803.09,51660.68,richness_4,5
271,2.848,4.881664619320345,3.127633279725874,27.176966292134836,0,0,19,9,4,3.3285714285714287,0,5671.33,8523.1,richness_2,0
271,2.848,4.881664619320345,3.127633279725874,27.176966292134836,0,0,19,9,4,3.3285714285714287,0,5671.33,8523.1,richness_3,7
271,2.848,4.881664619320345,3.127633279725874,27.176966292134836,0,0,19,9,4,3.3285714285714287,0,5671.33,8523.1,richness_4,4
