Common.name,Scientific.name,Code,CodeOld,IUCN.status,DetectionGroup,DetectionCode,functionalGroup,Group,FeedingGuildOld,residentStat,LargePredator,feedingGuild,Column.1,Secondary.diet,Primary,Level
Great cormorant,Phalacrocorax carbo,GRCO,GC,LC,CormorantAnhigas,CORM,Diving fishers,CormorantsAnhingas,Piscivore,Native nonbreeding,Yes,Piscivore,FALSE,"Vertebrates, Invertebrates",Fish,"""5-carnivore,piscivore"""
Indian cormorant,Phalacrocorax fuscicollis,INCO,IC,LC,CormorantAnhigas,CORM,Diving fishers,CormorantsAnhingas,Piscivore,Native resident,Yes,Piscivore,FALSE,,,"""5-carnivore,piscivore"""
Little cormorant,Microcarbo niger,LICO,LC,LC,CormorantAnhigas,CORM,Diving fishers,CormorantsAnhingas,Piscivore,Native resident,Yes,Piscivore,FALSE,,Na,"""5-carnivore,piscivore"""
Oriental darter,Anhinga melanogaster,ORDA,OD,NT,CormorantAnhigas,CORM,Diving fishers,CormorantsAnhingas,Piscivore,Native resident,Yes,Piscivore,FALSE,"Invertebrates, Vertebrates",Fish,"""5-carnivore,piscivore"""
Great egret,Ardea alba,GREG,GE,LC,Egret,EGRE,Large waders,HeronsIbis,Carnivore,Native resident,Yes,Carnivore,FALSE,,,"""5-carnivore,piscivore"""
Intermediate egret,Ardea intermedia,INEG,IE,LC,Egret,EGRE,Large waders,HeronsIbis,Carnivore,Native resident,Yes,Carnivore,FALSE,,,"""5-carnivore,piscivore"""
Little egret,Egretta garzetta,LIEG,LE,LC,Egret,EGRE,Large waders,HeronsIbis,Carnivore,Native resident,Yes,Carnivore,FALSE,Vertebrates,Invertebrates,
Common pochard,Aythya ferina,COPO,CPO,LC,Grebe-Duck,DUCK,Diving ducks,WaterfowlGrebes,Omnivore,Native nonbreeding,No,Omnivore,FALSE,"Vertebrates, Invertebrates, Fish",Plants,
Cotton pygmy goose,Nettapus coromandelianus,CPGO,CPG,LC,Grebe-Duck,DUCK,Perching duck,WaterfowlGrebes,Herbivore,Native resident,No,Herbivore,FALSE,Invertebrates,Plants,1-herbivore
Eurasian Wigeon,Mareca penelope,EUWI,EWG,LC,Grebe-Duck,DUCK,Dabbling ducks,WaterfowlGrebes,Herbivore,Native nonbreeding,No,Herbivore,FALSE,,,1-herbivore
Gadwall,Mareca strepera,GADW,GDW,LC,Grebe-Duck,DUCK,Dabbling ducks,WaterfowlGrebes,Herbivore,Native nonbreeding,No,Herbivore,FALSE,,,1-herbivore
Garganey,Spatula querquedula,GARG,GG,LC,Grebe-Duck,DUCK,Dabbling ducks,WaterfowlGrebes,Omnivore,Native nonbreeding,No,Omnivore,FALSE,,,
Green-winged Teal,Anas crecca,GWTE,GWT,LC,Grebe-Duck,DUCK,Dabbling ducks,WaterfowlGrebes,Omnivore,Native nonbreeding,No,Omnivore,FALSE,Invertebrates,Plants,
Greylag Goose,Anser anser,GRGO,GLG,LC,Grebe-Duck,DUCK,,WaterfowlGrebes,Herbivore,Native nonbreeding,,Herbivore,FALSE,,,1-herbivore
Indian spot-billed duck,Anas poecilorhyncha,ISBD,ISBD,LC,Grebe-Duck,DUCK,Dabbling ducks,WaterfowlGrebes,Omnivore,Native resident,No,Omnivore,FALSE,Invertebrates,Plants,1-herbivore
Knob-billed duck,Sarkidiornis melanotos,KBDU,KBD,LC,Grebe-Duck,DUCK,Perching duck,WaterfowlGrebes,Omnivore,Native resident,No,Omnivore,FALSE,Invertebrates,Plants,
Lesser whistling duck,Dendrocygna javanica,LWDU,LWD,LC,Grebe-Duck,DUCK,Perching duck,WaterfowlGrebes,Herbivore,Native resident,No,Herbivore,FALSE,,,1-herbivore
Little grebe,Tachybaptus ruficollis,LIGR,LG,LC,Grebe-Duck,DUCK,Diving fishers,WaterfowlGrebes,Carnivore,Native resident,No,Carnivore,,Vertebrates,Invertebrates,
Northern Pintail,Anas acuta,NOPI,NPT,LC,Grebe-Duck,DUCK,Dabbling ducks,WaterfowlGrebes,Omnivore,Native nonbreeding,No,Omnivore,FALSE,,Plants,
Northern Shoveler,Spatula clypeata,NOSH,NSV,LC,Grebe-Duck,DUCK,Dabbling ducks,WaterfowlGrebes,Omnivore,Native nonbreeding,No,Omnivore,,Plants,Invertebrates,
Ruddy shelduck,Tadorna ferruginea,RUSH,RSD,LC,Grebe-Duck,DUCK,Dabbling ducks,WaterfowlGrebes,Herbivore,Native nonbreeding,No,Herbivore,FALSE,"Vertebrates,invertebrates",Plants,1-herbivore
White-breasted waterhen,Amaurornis phoenicurus,WBWA,WBW,LC,Grebe-Duck,DUCK,Vegetation gleaners,Rails,Omnivore,Native resident,No,Omnivore,,"Plants,fish",Invertebrates,3-invertebrates
Black-crowned night heron,Nycticorax nycticorax,BCNH,BNH,LC,"Heron(small, non-white)",HERO,Small waders,HeronsIbis,Carnivore,Native resident,No,Carnivore,FALSE,,,"""5-carnivore,piscivore"""
Indian pond heron,Ardeola grayii,IPHE,IPH,LC,"Heron(small, non-white)",HERO,Small waders,HeronsIbis,Carnivore,Native resident,No,Carnivore,FALSE,PLANTS,"iNVERTEBRATES, VERTEBRATES",
Striated heron,Butorides striata,STHE,STH,LC,"Heron(small, non-white)",HERO,Small waders,HeronsIbis,Carnivore,Native resident,No,Carnivore,FALSE,"Vertebrates,invertebrates",Fish,"""5-carnivore,piscivore"""
Yellow bittern,Ixobrychus sinensis,YEBI,YB,LC,"Heron(small, non-white)",HERO,Small waders,HeronsIbis,Piscivore,Native nonbreeding,No,Piscivore,,vertebrates,Invertebrates,4-invertebrates/vertebrates
Glossy ibis,Plegadis falcinellus,GLIB,GI,LC,Ibis,IBIS,Large waders,HeronsIbis,Omnivore,Native nonbreeding,Yes,Omnivore,FALSE,Vertebrates,Invertebrates,
Bronze-winged jacana,Metopidius indicus,BWJA,BWJ,LC,Jacana,JACA,Vegetation gleaners,Rails,Omnivore,Native resident,No,Omnivore,FALSE,Invertebrates,Plants,2-plant/invertebrates
Pheasant-tailed jacana,Hydrophasianus chirurgus,PTJA,PTJ,LC,Jacana,JACA,Vegetation gleaners,Rails,Omnivore,Native resident,No,Omnivore,FALSE,Plants,Invertebrates,
Common kingfisher,Alcedo atthis,COKI,CK,LC,Kingfisher,KING,Diving fishers,Kingfishers,Piscivore,Native resident,No,Piscivore,FALSE,Invertebrates,Fish,"""5-carnivore,piscivore"""
Pied kingfisher,Ceryle rudis,PIKI,PK,LC,Kingfisher,KING,Diving fishers,Kingfishers,Piscivore,Native resident,No,Piscivore,FALSE,Invertebrates,Fish,"""5-carnivore,piscivore"""
White-throated kingfisher,Halcyon smyrnensis,WTKI,WTK,LC,Kingfisher,KING,Diving fishers,Kingfishers,Carnivore,Native resident,No,Carnivore,FALSE,invertebrates,vertebrates,"""5-carnivore,piscivore"""
