grid,richness,count,species_richness_3,species_richness_4,species_richness_2,count_3,count_4,count_2,MeanTrophicLevel,MaxTrophicPosition,FRic,FEve,FDiv,shannonDiv,pielouEven,richnessRes,richnessMig,countRes,countMig,totalBiomass,biomass3,biomass4,biomass2
105,5,10,4,1,0,7,3,0,3.22,3.6999999999999997,14.739594170274717,0.7812136845603516,0.7075249749942322,1.5047882836811908,0.9349775297671233,5,0,10,0,2939.5,2335,604.5,0
117,10,24,4,4,2,8,10,6,3.1875,4,98.59813027570038,0.6468216407269501,0.8182869252667144,2.0947290475276485,0.9097292664237122,10,0,24,0,26972.82,5731,9254.06,11987.76
12,7,9,4,3,0,6,3,0,3.2333333333333334,3.8000000000000003,35.54138402824789,0.8056401729124476,0.742406963256474,1.8891591637540215,0.9708357627258161,7,0,9,0,16893.81,12751.08,4142.7300000000005,0
124,12,21,5,5,2,11,6,4,3.142857142857143,4,102.90499242230005,0.7694031642354598,0.823030040669639,2.3312528487819963,0.9381651616493871,12,0,21,0,6421.85,2353.64,2210.45,1857.76
129,14,38,5,7,2,9,16,13,3.0421052631578944,4,82.74248682966099,0.72988107061821,0.8887315779212209,2.383919018765657,0.9033221794818693,13,1,34,4,37777,3908.82,22309.75,11558.43
132,10,52,4,4,2,25,5,22,2.7173076923076924,4,78.03371266702145,0.6543445006233127,0.7248520937172162,1.7425053316156984,0.7567604502076937,9,1,51,1,27453.62,4905.299999999999,664.95,21883.370000000003
138,6,8,3,3,0,5,3,0,3.35,3.8000000000000003,58.275110248246776,0.6420691947357093,0.852235754386349,1.732867951399863,0.9671320180863539,6,0,8,0,2949.65,1237,1712.6499999999999,0
14,12,26,6,3,3,12,4,10,2.9038461538461537,3.6999999999999997,54.13221368943838,0.7681451611209148,0.681150370198951,2.308761080498052,0.9291138082370313,12,0,26,0,10112.38,3603.64,2118.61,4390.13
142,10,46,5,4,1,6,37,3,3.7304347826086954,4,67.20732874755345,0.793016975952519,0.942464708204401,1.188354980910009,0.5160960107514609,10,0,46,0,19104.3,2323,15222.47,1558.83
144,10,23,5,2,3,13,3,7,2.8260869565217392,3.8000000000000003,44.63992355656272,0.7592031778398419,0.7933139108323176,2.208639278513371,0.9591998511731362,10,0,23,0,17586.16,5245.28,1471.74,10869.14
145,3,3,2,1,0,2,1,0,3.3333333333333335,3.6999999999999997,5.5567065821870045,0.9728952312954307,0.8026945363097143,1.0986122886681096,0.9999999999999998,3,0,3,0,1488.4,1397,91.4,0
146,15,282,8,4,3,23,37,222,2.673049645390071,3.8000000000000003,54.675292749974645,0.6259093450563957,0.9716539834726929,1.1954092686020596,0.44142803117738116,15,0,282,0,197801.31,13898.8,21197.26,162705.25
155,8,15,4,3,1,8,5,2,3.146666666666667,3.9000000000000004,63.56950203079326,0.9017433258822884,0.6731701664095368,1.9338099989206319,0.9299660318214292,7,1,14,1,7278.389999999999,2626,3613.17,1039.22
