grid,richness,count,species_richness_3,species_richness_4,species_richness_2,count_3,count_4,count_2,MeanTrophicLevel,MaxTrophicPosition,FRic,FEve,FDiv,shannonDiv,pielouEven,richnessRes,richnessMig,countRes,countMig,totalBiomass,biomass3,biomass4,biomass2
105,5,17,3,2,0,14,3,0,3.152941176470588,3.8000000000000003,34.66314549453712,0.8896424915094837,0.401462225410874,1.3130105920403288,0.8158193502814549,4,1,14,3,2467.86,2133,334.86,0
117,11,16,7,4,0,12,4,0,3.3125,3.9000000000000004,28.50600871000453,0.7962486011030191,0.7314836080355169,2.220025327834538,0.9258224714892337,9,2,14,2,12108.47,8923.46,3185.0099999999998,0
12,15,44,7,5,3,23,7,14,2.9545454545454546,4,105.81074054553466,0.7842545689604244,0.6946599940176579,2.301912538943358,0.8500258001149503,12,3,38,6,20139.54,5707.89,5099.21,9332.44
124,8,23,5,1,2,12,6,5,3.1130434782608694,4,79.65110663641057,0.7373317211285656,0.801776789702264,1.8120005877987309,0.871388087368372,8,0,23,0,8141.76,3567,2562,2012.76
129,8,63,3,5,0,52,11,0,3.1142857142857143,3.8000000000000003,49.73683448060345,0.6835283205817063,0.4403632234054775,0.9224161985669156,0.44358842510271285,7,1,61,2,13743.17,9304.63,4438.54,0
132,4,35,1,3,0,30,5,0,3.1285714285714286,4,14.635462872941705,0.5688722711611532,0.961314096569656,0.5458692524645854,0.39376143175221145,4,0,35,0,6886.77,5430,1456.77,0
138,10,21,6,4,0,16,5,0,3.304761904761905,4,65.5330026887002,0.8211753635934679,0.8084420286617477,2.161423635898512,0.9386943581259871,9,1,19,2,6149.74,4195.28,1954.46,0
14,11,31,4,4,3,7,12,12,3.0161290322580645,3.8000000000000003,57.989906612166706,0.7524173723656497,0.8112877691653174,2.043650018444746,0.8522682544262176,10,1,30,1,16621.68,2151.46,8041.73,6428.49
142,7,10,5,2,0,8,2,0,3.2700000000000005,4,46.85135031763877,0.7483975995007935,0.8122083210610092,1.8343719702816237,0.94268071481726,6,1,7,3,2612.09,2154,458.09,0
144,12,238,8,4,0,228,10,0,3.143697478991597,4,24.428321167617188,0.5652830925565923,0.6649016746558023,1.2958263031414732,0.5214788665208113,8,4,104,134,107682.74,99616.3,8066.4400000000005,0
160,13,112,6,3,4,50,3,59,2.511607142857143,4,102.92931052849563,0.6419158482315523,0.9010876121782897,1.5882898310579312,0.6192285342545009,11,2,108,4,145407.42,17718.81,1761.09,125927.52
162,12,25,7,4,1,17,4,4,3.08,4,85.5940139231752,0.611358282297972,0.8273058809824988,2.2134058820549294,0.8907400534518132,10,2,18,7,10065.6,6192.29,3253.31,620
163,13,19,4,9,0,9,10,0,3.384210526315789,4,55.76228409305349,0.8223807560305529,0.6028714698436212,2.4061595753978207,0.9380924299336396,12,1,18,1,10850.52,3106.61,7743.91,0
165,7,25,6,1,0,24,1,0,3.032,3.5999999999999996,13.45589232311165,0.8015354410207727,0.7162050213992505,1.7104108918206056,0.8789773220777762,6,1,23,2,7575.46,6272.46,1303,0
170,7,196,1,1,5,170,6,20,2.7127551020408167,4,55.9721541222723,0.3497298732809327,0.3073251774774659,0.5812440331235362,0.29870034513449373,5,2,183,13,139669.34,121910.4,2562,15196.94
181,7,7,4,2,1,4,2,1,3.1714285714285713,3.9000000000000004,78.55334334994018,0.8454073541106587,0.7843294357486373,1.9459101490553132,1,5,2,5,2,4215.88,821.63,2620.37,773.88
187,6,16,4,1,1,13,2,1,2.84375,4,62.19461813688406,0.8058743932430292,0.7473321488013863,1.3633631023481714,0.7609074352683902,6,0,16,0,7231.1,3767.1,854,2610
194,8,44,3,2,3,4,3,37,2.4499999999999997,4,71.49289940393044,0.5893429861291731,0.9218230818925169,1.3998022487022954,0.6731625874760071,8,0,44,0,78919.23,881.63,1918.48,76119.12
198,13,481,4,4,5,227,5,249,2.5384615384615383,4,99.00901020198214,0.32583238282411464,0.5774252093158122,1.8556608354436308,0.723468800678439,10,3,316,165,486415.7,157766.77,2856.66,325792.27
2,14,59,4,7,3,12,20,27,2.979661016949153,4,98.30102548861719,0.7159772901723123,0.8360207839049164,2.2799397563612986,0.8639220265418355,14,0,59,0,32251.46,3064.26,14588.6,14598.6
211,8,22,4,3,1,14,6,2,3.1454545454545455,3.8000000000000003,52.31530971544929,0.8604716504316408,0.7459983631534977,1.9183861055319416,0.9225487069870747,8,0,22,0,6325.1,3209.26,1568.08,1547.76
