size_class,WVclass,n,mean_rich,se_rich,mean_abun,se_abun,season
small,0,10,10,1.3498971154211057,50.1,18.790334394753774,Summer
small,1,7,11.857142857142858,1.7515784912142398,108.14285714285714,46.467822236482746,Summer
small,2,17,7.588235294117647,0.7861803767425682,25.294117647058822,5.484446394043336,Summer
large,0,15,11.266666666666667,1.0486574939810136,49.333333333333336,13.029880190461375,Summer
large,1,12,14,1.7624019422539816,85.41666666666667,29.969797507261585,Summer
large,2,8,16,2.4784787961282104,180,54.36549588532365,Summer
small,0,10,8.2,1.1333333333333333,53.3,23.429824298672546,Winter
small,1,7,11.714285714285714,1.7689691067625437,68.85714285714286,25.476813521531387,Winter
small,2,3,4.666666666666667,1.2018504251546631,16,5.686240703077327,Winter
large,0,26,10.115384615384615,0.8967066634282844,57.23076923076923,11.883965628242724,Winter
large,1,16,13.75,1.8450383916511512,114.875,34.05508711387086,Winter
large,2,8,11.75,0.940174755792013,39.625,6.608807705306176,Winter
