area_bin,perWV,season,metric,mean_value,sd,lower,upper
Small,0,Summer,Richness,2.2016151956290826,0.09672232052206767,2.104892875107015,2.2983375161511503
Small,0,Summer,Abundance,3.9218683057742267,0.029474828310353866,3.8923934774638727,3.951343134084581
Small,0,Winter,Richness,2.0334150876800763,0.10074978879161861,1.9326652988884576,2.134164876471695
Small,0,Winter,Abundance,4.094960852264113,0.06775824423311597,4.027202608030997,4.162719096497229
Small,1.0101010101010102,Summer,Richness,2.199876800262832,0.09827477937036391,2.1016020208924684,2.298151579633196
Small,1.0101010101010102,Summer,Abundance,3.915759017206809,0.03500155820924053,3.8807574589975684,3.9507605754160493
Small,1.0101010101010102,Winter,Richness,2.033718546644139,0.10202789763150814,1.931690649012631,2.1357464442756475
Small,1.0101010101010102,Winter,Abundance,4.0879618110262825,0.0615010418641845,4.026460769162098,4.149462852890467
Small,2.0202020202020203,Summer,Richness,2.1981384048965813,0.09982723821866019,2.098311166677921,2.2979656431152415
Small,2.0202020202020203,Summer,Abundance,3.90964972863939,0.040528288108127225,3.869121440531263,3.9501780167475173
Small,2.0202020202020203,Winter,Richness,2.0340220056082026,0.10330600647139788,1.9307159991368046,2.1373280120796005
Small,2.0202020202020203,Winter,Abundance,4.080962769788453,0.055243839495252925,4.0257189302932,4.136206609283706
Small,3.0303030303030303,Summer,Richness,2.196400009530331,0.10137969706695642,2.0950203124633746,2.297779706597287
Small,3.0303030303030303,Summer,Abundance,3.903540440071972,0.04605501800701389,3.857485422064958,3.9495954580789863
Small,3.0303030303030303,Winter,Richness,2.0343254645722655,0.10458411531128742,1.929741349260978,2.1389095798835527
Small,3.0303030303030303,Winter,Abundance,4.073963728550623,0.048986637126321814,4.024977091424302,4.122950365676945
Small,4.040404040404041,Summer,Richness,2.19466161416408,0.10293215591525269,2.0917294582488273,2.2975937700793327
Small,4.040404040404041,Summer,Abundance,3.897431151504554,0.05158174790590058,3.8458494035986535,3.9490128994104543
Small,4.040404040404041,Winter,Richness,2.034628923536329,0.10586222415117715,1.9287666993851518,2.140491147687506
Small,4.040404040404041,Winter,Abundance,4.066964687312793,0.04272943475739017,4.024235252555402,4.1096941220701835
Small,5.050505050505051,Summer,Richness,2.1929232187978296,0.10448461476354891,2.088438604034281,2.2974078335613783
Small,5.050505050505051,Summer,Abundance,3.8913218629371356,0.05710847780478727,3.8342133851323483,3.948430340741923
Small,5.050505050505051,Winter,Richness,2.0349323825003918,0.10714033299106668,1.927792049509325,2.1420727154914583
Small,5.050505050505051,Winter,Abundance,4.059965646074963,0.03647223238845873,4.023493413686505,4.096437878463422
Small,6.0606060606060606,Summer,Richness,2.1911848234315787,0.10603707361184515,2.0851477498197335,2.297221897043424
Small,6.0606060606060606,Summer,Abundance,3.8852125743697172,0.06263520770367395,3.822577366666043,3.9478477820733913
Small,6.0606060606060606,Winter,Richness,2.035235841464455,0.10841844183095645,1.9268173996334987,2.1436542832954117
Small,6.0606060606060606,Winter,Abundance,4.052966604837134,0.030215030019527057,4.022751574817606,4.083181634856661
Small,7.070707070707071,Summer,Richness,2.1894464280653283,0.10758953246014143,2.081856895605187,2.2970359605254695
Small,7.070707070707071,Summer,Abundance,3.8791032858022985,0.0681619376025606,3.810941348199738,3.947265223404859
Small,7.070707070707071,Winter,Richness,2.035539300428518,0.10969655067084597,1.925842749757672,2.145235851099364
Small,7.070707070707071,Winter,Abundance,4.045967563599303,0.023957827650595984,4.022009735948707,4.0699253912499
Small,8.080808080808081,Summer,Richness,2.1877080326990774,0.10914199130843764,2.0785660413906397,2.296850024007515
Small,8.080808080808081,Summer,Abundance,3.8729939972348806,0.0736886675014473,3.7993053297334334,3.946682664736328
Small,8.080808080808081,Winter,Richness,2.0358427593925814,0.11097465951073572,1.9248680998818457,2.1468174189033173
Small,8.080808080808081,Winter,Abundance,4.038968522361474,0.01770062528166431,4.0212678970798095,4.056669147643138
Small,9.090909090909092,Summer,Richness,2.1859696373328266,0.11069445015673392,2.075275187176093,2.2966640874895603
Small,9.090909090909092,Summer,Abundance,3.8668847086674623,0.07921539740033395,3.7876693112671282,3.9461001060677963
Small,9.090909090909092,Winter,Richness,2.0361462183566448,0.11225276835062524,1.9238934500060196,2.14839898670727
Small,9.090909090909092,Winter,Abundance,4.031969481123644,0.011443422912732908,4.020526058210911,4.043412904036377
Small,10.101010101010102,Summer,Richness,2.1842312419665757,0.11224690900503015,2.0719843329615455,2.296478150971606
Small,10.101010101010102,Summer,Abundance,3.860775420100044,0.08474212729922063,3.776033292800823,3.9455175473992647
Small,10.101010101010102,Winter,Richness,2.0364496773207077,0.11353087719051498,1.9229188001301927,2.1499805545112225
Small,10.101010101010102,Winter,Abundance,4.024970439885814,0.005186220543801341,4.019784219342013,4.030156660429615
Small,11.111111111111112,Summer,Richness,2.1824928466003253,0.11379936785332642,2.068693478746999,2.2962922144536515
Small,11.111111111111112,Summer,Abundance,3.8546661315326256,0.0902688571981073,3.7643972743345184,3.944934988730733
Small,11.111111111111112,Winter,Richness,2.036753136284771,0.11480898603040453,1.9219441502543666,2.1515621223151755
Small,11.111111111111112,Winter,Abundance,4.017971398647984,0.0010709818251299701,4.016900416822854,4.019042380473114
Small,12.121212121212121,Summer,Richness,2.180754451234075,0.1153518267016227,2.065402624532452,2.2961062779356975
Small,12.121212121212121,Summer,Abundance,3.8485568429652077,0.09579558709699397,3.7527612558682137,3.9443524300622017
Small,12.121212121212121,Winter,Richness,2.0370565952488344,0.11608709487029423,1.9209695003785403,2.1531436901191285
Small,12.121212121212121,Winter,Abundance,4.010972357410155,0.0073281841940614585,4.0036441732160934,4.018300541604216
Small,13.131313131313131,Summer,Richness,2.179016055867824,0.11690428554991888,2.0621117703179053,2.2959203414177427
Small,13.131313131313131,Summer,Abundance,3.842447554397789,0.10132231699588069,3.741125237401908,3.9437698713936697
Small,13.131313131313131,Winter,Richness,2.0373600542128973,0.1173652037101838,1.9199948505027136,2.154725257923081
Small,13.131313131313131,Winter,Abundance,4.003973316172324,0.013585386562992878,3.9903879296093314,4.017558702735317
Small,14.141414141414142,Summer,Richness,2.1772776605015736,0.11845674439821519,2.0588209161033584,2.2957344048997887
Small,14.141414141414142,Summer,Abundance,3.836338265830371,0.10684904689476736,3.729489218935604,3.9431873127251382
Small,14.141414141414142,Winter,Richness,2.0376635131769607,0.11864331255007358,1.919020200626887,2.156306825727034
Small,14.141414141414142,Winter,Abundance,3.9969742749344945,0.019842588931924362,3.9771316860025703,4.016816863866419
Small,15.151515151515152,Summer,Richness,2.1755392651353227,0.1200092032465114,2.0555300618888115,2.295548468381834
Small,15.151515151515152,Summer,Abundance,3.8302289772629527,0.11237577679365404,3.717853200469299,3.9426047540566067
Small,15.151515151515152,Winter,Richness,2.0379669721410236,0.11992142138996316,1.9180455507510605,2.1578883935309867
Small,15.151515151515152,Winter,Abundance,3.9899752336966645,0.026099791300855844,3.9638754423958087,4.01607502499752
Small,16.161616161616163,Summer,Richness,2.1738008697690723,0.1215616620948077,2.0522392076742646,2.29536253186388
Small,16.161616161616163,Summer,Abundance,3.8241196886955344,0.11790250669254071,3.7062171820029937,3.942022195388075
Small,16.161616161616163,Winter,Richness,2.038270431105087,0.1211995302298529,1.917070900875234,2.1594699613349397
Small,16.161616161616163,Winter,Abundance,3.982976192458835,0.03235699366978729,3.9506191987890475,4.015333186128622
Small,17.171717171717173,Summer,Richness,2.1720624744028214,0.12311412094310392,2.0489483534597177,2.295176595345925
Small,17.171717171717173,Summer,Abundance,3.818010400128116,0.12342923659142738,3.6945811635366885,3.9414396367195437
Small,17.171717171717173,Winter,Richness,2.03857389006915,0.12247763906974245,1.9160962509994075,2.1610515291388923
Small,17.171717171717173,Winter,Abundance,3.975977151221005,0.03861419603871873,3.9373629551822864,4.014591347259723
Small,18.181818181818183,Summer,Richness,2.170324079036571,0.12466657979140018,2.045657499245171,2.294990658827971
Small,18.181818181818183,Summer,Abundance,3.8119011115606973,0.12895596649031407,3.6829451450703834,3.9408570780510113
Small,18.181818181818183,Winter,Richness,2.0388773490332133,0.12375574790963217,1.9151216011235812,2.1626330969428453
Small,18.181818181818183,Winter,Abundance,3.968978109983175,0.04487139840765025,3.924106711575525,4.013849508390825
Small,19.191919191919194,Summer,Richness,2.16858568367032,0.12621903863969638,2.042366645030624,2.2948047223100163
Small,19.191919191919194,Summer,Abundance,3.8057918229932794,0.13448269638920074,3.6713091266040787,3.94027451938248
Small,19.191919191919194,Winter,Richness,2.039180807997276,0.12503385674952167,1.9141469512477545,2.164214664746798
