grid,area,logArea,logWV,perWV,WVclass,richness_2,richness_3,richness_4,count_2,count_3,count_4,MaxTrophicPosition,MeanTrophicLevel,biomass_2,biomass_3,biomass_4,TotalRichness,TotalAbundance,trophicRichness,shannonRichnessTroph,shannonAbundanceTroph,PropRich_2,PropRich_3,PropRich_4,PropAbund_2,PropAbund_3,PropAbund_4,Herbivore_present,Omnivore_present,Carnivore_present
155,0.33,2.1043366598147357,1.807354922057604,75.75757575757575,High,1,4,3,2,8,5,3.9,3.2,1039.22,2626,3613.17,8,15,3,0.9743147528693494,0.9701157839869381,0.125,0.5,0.375,0.13333333333333333,0.5333333333333333,0.3333333333333333,1,1,1
85,0.8300000000000001,3.2172307162206693,2.608809242675524,61.44578313253012,Medium,3,13,5,16,296,50,4,3.0939226519337018,12685.5,128078.71,123867.25,21,362,3,0.9165525293817653,0.5758735811429929,0.14285714285714285,0.6190476190476191,0.23809523809523808,0.04419889502762431,0.8176795580110497,0.13812154696132597,1,1,1
88,8.39,6.407692648665677,4.026800059343715,18.235995232419548,Low,0,5,4,0,13,5,3.8,3.2777777777777777,0,5173.28,3361.4300000000003,9,18,2,0.6869615765973234,0.5908422462755826,0,0.5555555555555556,0.4444444444444444,0,0.7222222222222222,0.2777777777777778,0,1,1
132,2.631,4.7713574089905615,2.0738202332916713,12.200684150513112,Low,2,4,4,22,25,5,4,2.673076923076923,21883.370000000003,4905.299999999999,664.95,10,52,3,1.0549201679861442,0.9412048886245337,0.2,0.4,0.4,0.4230769230769231,0.4807692307692308,0.09615384615384616,1,1,1
89,10.964,6.789729251375769,5.397118409042582,37.52280189711784,Medium,2,4,6,5,8,17,4,3.4,1393.88,1577.46,16984.780000000002,12,30,3,1.0114042647073518,0.9729524235099933,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.26666666666666666,0.5666666666666667,1,1,1
71,4.3919999999999995,5.489286022625876,4.046141781644721,35.336976320582885,Medium,2,9,9,17,30,23,4,3.085714285714286,12537.08,9607.99,15699.99,20,70,3,0.9489154358953991,1.0725393096894906,0.1,0.45,0.45,0.24285714285714285,0.42857142857142855,0.32857142857142857,1,1,1
91,7.482,6.2445065513959195,3.9240998856407416,18.95215183106121,Low,2,9,6,15,35,13,4,2.9682539682539684,37313.88,17520.96,10093.83,17,63,3,0.9560443809671457,0.9938922372540309,0.11764705882352941,0.5294117647058824,0.35294117647058826,0.23809523809523808,0.5555555555555556,0.20634920634920634,1,1,1
6,4.888,5.640389560054945,5.516645557780962,91.61211129296235,High,2,3,2,8,9,6,4,2.9130434782608696,4953.28,2035,3199.48,7,23,3,1.0789922078775833,1.08501115745815,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.34782608695652173,0.391304347826087,0.2608695652173913,1,1,1
12,0.21,1.632268215499513,0.13750352374993502,4.761904761904762,Low,0,4,3,0,6,3,3.8,3.3333333333333335,0,12751.08,4142.7300000000005,7,9,2,0.6829081047004717,0.6365141682948128,0,0.5714285714285714,0.42857142857142855,0,0.6666666666666666,0.3333333333333333,0,1,1
49,27.565,8.111918113555461,7.710462073979161,75.62125884273534,High,5,14,9,85,107,53,4,2.869387755102041,48455.48,48881.22,33566.69,28,245,3,1.019025461146272,1.0602642778616114,0.17857142857142858,0.5,0.32142857142857145,0.3469387755102041,0.43673469387755104,0.2163265306122449,1,1,1
245,1.079,3.559491813205038,3.2764966656403565,80.53753475440223,High,2,4,3,66,25,3,3.7,2.3297872340425534,39578.11,5195.29,2027.21,9,94,3,1.0608569471580214,0.7104762135311375,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.7021276595744681,0.26595744680851063,0.031914893617021274,1,1,1
271,2.239,4.547819956577703,2.5533605033353277,21.750781598928093,Low,2,6,7,6,43,10,3.8,3.0677966101694913,9219.84,33751.99,9929.02,15,59,3,0.9908353864438492,0.763842313056025,0.13333333333333333,0.4,0.4666666666666667,0.1016949152542373,0.7288135593220338,0.1694915254237288,1,1,1
293,0.4,2.321928094887362,1.1375035237499351,30,Medium,1,5,2,7,7,2,3.8,2.6875,3637.27,2177.87,543.2,8,16,3,0.9002560512685369,0.9832739442463889,0.125,0.625,0.25,0.4375,0.4375,0.125,1,1,1
294,0.01,0.13750352374993502,0.13750352374993502,100,High,0,4,1,0,14,4,3.5999999999999996,3.2222222222222223,0,5619.28,5212,5,18,2,0.5004024235381879,0.5297061990576545,0,0.8,0.2,0,0.7777777777777778,0.2222222222222222,0,1,1
252,1.26,3.765534746362977,0.5849625007211562,3.968253968253969,Low,2,10,8,13,102,81,4,3.3469387755102042,9441.56,115021.04,193143.08,20,196,3,0.9433483923290392,0.8850434850955011,0.1,0.5,0.4,0.0663265306122449,0.5204081632653061,0.413265306122449,1,1,1
300,2.698,4.806324057390029,1.7570232465074596,8.82134914751668,Low,2,2,2,5,8,3,4,2.875,2012.76,1808,945.4,6,16,3,1.0986122886681096,1.0239287996389363,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3125,0.5,0.1875,1,1,1
251,0.42,2.37851162325373,2.37851162325373,100,High,2,6,4,8,29,16,3.8,3.150943396226415,5682.5,35583.25,26921.76,12,53,3,1.0114042647073518,0.9769234048939532,0.16666666666666666,0.5,0.3333333333333333,0.1509433962264151,0.5471698113207547,0.3018867924528302,1,1,1
263,0.99,3.4462562298895643,3.4462562298895643,100,High,2,2,3,17,2,7,3.7,2.6153846153846154,11884.61,347.29,5205.88,7,26,3,1.0789922078775833,0.828392989811376,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.6538461538461539,0.07692307692307693,0.2692307692307692,1,1,1
211,0.5599999999999999,2.722466024471091,0.8479969065549501,14.285714285714288,Low,2,4,2,2,9,2,3.7,3,1293.49,1523.58,1394.4,8,13,3,1.0397207708399179,0.8305178252872478,0.25,0.5,0.25,0.15384615384615385,0.6923076923076923,0.15384615384615385,1,1,1
237,0.194,1.5558161550616396,1.5558161550616396,100,High,0,3,3,0,5,7,3.7,3.5833333333333335,0,895.64,5444.4,6,12,2,0.6931471805599453,0.6791932659915256,0,0.5,0.5,0,0.4166666666666667,0.5833333333333334,0,1,1
238,4.445,5.506208389306745,3.0959244199985356,16.985376827896513,Low,1,6,3,1,14,3,4,3.111111111111111,519.61,4247.38,549.49,10,18,3,0.8979457248567798,0.6546695645285008,0.1,0.6,0.3,0.05555555555555555,0.7777777777777778,0.16666666666666666,1,1,1
262,0.34,2.137503523749935,0.8479969065549501,23.52941176470588,Low,1,6,4,2,16,5,4,3.130434782608696,1039.22,4008.49,3712.14,11,23,3,0.9164648855394713,0.7965853690105891,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.08695652173913043,0.6956521739130435,0.21739130434782608,1,1,1
160,1.844,4.280956313831056,1.7398481026993278,12.689804772234272,Low,3,3,4,6,15,8,4,3.0689655172413794,4478.83,5223.58,3032.62,10,29,3,1.0888999753452238,1.0222323070437096,0.3,0.3,0.4,0.20689655172413793,0.5172413793103449,0.27586206896551724,1,1,1
162,2.4659999999999997,4.681449265314957,4.618238655595454,95.53933495539336,High,4,6,4,18,8,47,4,3.3972602739726026,10891.67,1963.08,39771.4,14,73,3,1.0789922078775833,0.8710188759984951,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2465753424657534,0.1095890410958904,0.6438356164383562,1,1,1
187,0.24,1.765534746362977,1.765534746362977,100,High,1,6,3,3,10,4,4,3.0588235294117645,465,2627.71,2248.4,10,17,3,0.8979457248567798,0.9586918593253719,0.1,0.6,0.3,0.17647058823529413,0.5882352941176471,0.23529411764705882,1,1,1
216,0.01,0.13750352374993502,0.13750352374993502,100,High,0,2,1,0,8,1,3.8,3.111111111111111,0,1427.1,458.83,3,9,2,0.6365141682948128,0.34883209584303193,0,0.6666666666666666,0.3333333333333333,0,0.8888888888888888,0.1111111111111111,0,1,1
349,1.308,3.815575428862573,2.922197848396367,50.30581039755352,Medium,2,8,3,46,21,8,3.7,2.493333333333333,24410.6,6798.4400000000005,9453.96,13,75,3,0.9251290835720823,0.8949813433479246,0.15384615384615385,0.6153846153846154,0.23076923076923078,0.6133333333333333,0.28,0.10666666666666667,1,1,1
364,3.922,5.3298411765306275,3.680324356844016,30.137684854665984,Medium,2,5,2,115,8,2,4,2.096,112014.9,3161.45,518.4,9,125,3,0.9950269901795212,0.3188015656516424,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.92,0.064,0.016,1,1,1
373,0.065,0.722466024471091,0.632268215499513,84.61538461538461,High,0,4,1,0,6,1,3.7,3.142857142857143,0,2192,91.4,5,7,2,0.5004024235381879,0.410116318288409,0,0.8,0.2,0,0.8571428571428571,0.14285714285714285,0,1,1
28,6.452999999999999,6.034083626615416,3.82273014794452,20.37811870447854,Low,3,7,8,100,22,14,4,2.3676470588235294,56339.82,13598.89,7089.07,18,136,3,1.0263306332944864,0.7548110975940983,0.16666666666666666,0.3888888888888889,0.4444444444444444,0.7352941176470589,0.16176470588235295,0.10294117647058823,1,1,1
41,5.0760000000000005,5.693765712217783,3.707082991771706,23.75886524822695,Low,2,6,8,10,14,25,4,3.306122448979592,6213.18,7335.26,19154.99,16,49,3,0.9743147528693494,1.0256050090032982,0.125,0.375,0.5,0.20408163265306123,0.2857142857142857,0.5102040816326531,1,1,1
56,3.306,5.0900065299038175,3.257010618206024,25.89231699939504,Low,1,6,6,1,17,8,4,3.269230769230769,773.88,6514.69,3532.75,13,26,3,0.9110175397125628,0.7657827233140067,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.038461538461538464,0.6538461538461539,0.3076923076923077,1,1,1
94,6.42,6.026800059343715,5.705977901682522,79.75077881619937,High,4,5,2,36,19,5,3.7,2.4833333333333334,27964.69,5300.4,4742.950000000001,11,60,3,1.0361987848192837,0.8777076963762203,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.6,0.31666666666666665,0.08333333333333333,1,1,1
138,1.42,3.925999418556223,1.632268215499513,14.788732394366196,Low,0,3,3,0,5,3,3.8,3.375,0,1237,1712.65,6,8,2,0.6931471805599453,0.6615632381579821,0,0.5,0.5,0,0.625,0.375,0,1,1
142,0.888,3.304511041809953,1.2570106182060241,15.653153153153154,Low,1,5,4,3,6,37,4,3.739130434782609,1558.83,2323,15222.47,10,46,3,0.9433483923290392,0.6188510388975959,0.1,0.5,0.4,0.06521739130434782,0.13043478260869565,0.8043478260869565,1,1,1
165,0.01,0.13750352374993502,0,0,Low,1,3,1,2,98,12,3.5999999999999996,3.0892857142857144,1547.76,107976,15636,5,112,3,0.9502705392332347,0.4280347010424879,0.2,0.6,0.2,0.017857142857142856,0.875,0.10714285714285714,1,1,1
98,2.6100000000000003,4.760220946466509,3.797012977836145,49.42528735632183,Medium,4,8,8,9,35,18,4,3.1451612903225805,8017.71,13289.67,33894.91,20,62,3,1.0549201679861442,0.9619909174598267,0.2,0.4,0.4,0.14516129032258066,0.5645161290322581,0.2903225806451613,1,1,1
99,2.476,4.687060688339892,3.959770155211467,58.80452342487884,Medium,1,5,5,3,16,30,4,3.5510204081632653,465,4058.52,60604.399999999994,11,49,3,0.9347698978582794,0.8368574844023513,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.061224489795918366,0.32653061224489793,0.6122448979591837,1,1,1
124,1.6,4.087462841250339,3.82781902461732,82.5,High,2,5,5,4,11,6,4,3.0952380952380953,1857.76,2353.64,2210.45,12,21,3,1.0281838593329258,1.012494711026758,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.19047619047619047,0.5238095238095238,0.2857142857142857,1,1,1
277,11.123,6.810314561497258,6.127839600075298,61.97069136024454,Medium,6,12,8,222,146,16,4,2.4635416666666665,210206.42,72835.75,10976.46,26,384,3,1.0579054247036734,0.8168863934708006,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.578125,0.3802083333333333,0.041666666666666664,1,1,1
319,10.196,6.685940148445977,6.4571345943180365,85.19027069438995,High,5,11,9,172,116,33,4,2.5669781931464173,103330.51,190071.01,46500.99,25,321,3,1.0509134745090587,0.93601974709062,0.2,0.44,0.36,0.5358255451713395,0.3613707165109034,0.102803738317757,1,1,1
366,1.17,3.6667565918848033,3.523561956057013,89.74358974358975,High,3,6,2,27,19,4,4,2.54,21741.69,6455.740000000001,1036.8,11,50,3,0.9949236325717752,0.9024807368129698,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.54,0.38,0.08,1,1,1
23,4.432,5.5020759560457915,5.5020759560457915,100,High,2,8,4,2,10,9,3.8,3.3333333333333335,928.88,3639.09,6628.1500000000005,14,21,3,0.9556998911125343,0.9403716526240743,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.09523809523809523,0.47619047619047616,0.42857142857142855,1,1,1
2,34.232000000000006,8.423410093269615,8.41201933722131,99.21126431409208,High,4,6,4,303,81,31,4,2.3445783132530122,223471.11,30656.84,36160.85,14,415,3,1.0789922078775833,0.7423387011057684,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.7301204819277108,0.19518072289156627,0.0746987951807229,1,1,1
14,1.48,3.981852653289741,3.981852653289741,100,High,3,6,3,10,12,4,3.7,2.769230769230769,4390.13,3603.64,2118.61,12,26,3,1.0397207708399179,1.0123308391031736,0.25,0.5,0.25,0.38461538461538464,0.46153846153846156,0.15384615384615385,1,1,1
117,3.308,5.090853430451113,3.1009776477248208,22.914147521160825,Low,2,4,4,6,8,10,4,3.1666666666666665,11987.76,5731,9254.06,10,24,3,1.0549201679861442,1.0775563270668007,0.2,0.4,0.4,0.25,0.3333333333333333,0.4166666666666667,1,1,1
