grid,area,logArea,logWV,perWV,WVclass,richness_2,richness_3,richness_4,count_2,count_3,count_4,MaxTrophicPosition,MeanTrophicLevel,biomass_2,biomass_3,biomass_4,TotalRichness,TotalAbundance,trophicRichness,shannonRichnessTroph,shannonAbundanceTroph,PropRich_2,PropRich_3,PropRich_4,PropAbund_2,PropAbund_3,PropAbund_4,Herbivore_present,Omnivore_present,Carnivore_present
85,1.333,3.840966704487421,2.485426827170242,34.5086271567892,Medium,0,4,4,0,5,6,4,3.5454545454545454,0,762.64,4443.38,8,11,2,0.6931471805599453,0.6890092384766586,0,0.5,0.5,0,0.45454545454545453,0.5454545454545454,0,1,1
88,11.089,6.8059372931571,4.049630767724601,14.031923527820364,Low,0,4,3,0,7,5,3.8,3.4166666666666665,0,2313,2561.98,7,12,2,0.6829081047004717,0.6791932659915256,0,0.5714285714285714,0.42857142857142855,0,0.5833333333333334,0.4166666666666667,0,1,1
132,4.1000000000000005,5.392317422778761,2.9068905956085187,15.853658536585364,Low,0,1,3,0,30,5,4,3.142857142857143,0,5430,1456.77,4,35,2,0.5623351446188083,0.410116318288409,0,0.25,0.75,0,0.8571428571428571,0.14285714285714285,0,1,1
89,11.752,6.888986721186558,5.130519083027338,28.956773315180396,Low,1,8,4,3,19,11,4,3.242424242424242,465,11988.82,6457.06,13,33,3,0.8587409130062869,0.9020522441650023,0.07692307692307693,0.6153846153846154,0.3076923076923077,0.09090909090909091,0.5757575757575758,0.3333333333333333,1,1,1
71,5.151,5.714520290553514,3.8509993947164736,26.072607260726073,Low,0,4,6,0,7,8,4,3.533333333333333,0,1712.63,1251.97,10,15,2,0.6730116670092565,0.6909233093138181,0,0.4,0.6,0,0.4666666666666667,0.5333333333333333,0,1,1
91,7.617,6.269968200633338,3.982765462583646,19.443350400420115,Low,3,10,5,124,73,34,4,2.6103896103896105,314438.88,22096.09,23001.18,18,231,3,0.9809896824453153,0.9800163634403796,0.16666666666666666,0.5555555555555556,0.2777777777777778,0.5367965367965368,0.31601731601731603,0.1471861471861472,1,1,1
6,4.6,5.554588851677638,5.542258049766918,99.13043478260867,High,2,3,3,20,11,4,4,2.5428571428571427,9907.68,2632.89,2409.14,8,35,3,1.0821955300387673,0.931443178165372,0.25,0.375,0.375,0.5714285714285714,0.3142857142857143,0.11428571428571428,1,1,1
12,6.289,5.997518234519788,5.645586385913607,78.00922245190014,High,3,7,5,14,23,7,4,2.840909090909091,9332.44,5707.89,5099.21,15,44,3,1.0437570363314084,0.9959046197280053,0.2,0.4666666666666667,0.3333333333333333,0.3181818181818182,0.5227272727272727,0.1590909090909091,1,1,1
49,41.2,8.689997971419444,6.777419715515831,26.38349514563107,Low,1,5,5,4,9,11,4,3.2916666666666665,3095.52,3467.4,4302.55,11,24,3,0.9347698978582794,1.024010220294295,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.16666666666666666,0.375,0.4583333333333333,1,1,1
245,1.129,3.619413010597937,2.825785627464791,53.94154118689105,Medium,3,8,5,71,44,77,4,3.03125,119451.72,21803.09,51660.68,16,192,3,1.0239287996389363,1.0719347853347059,0.1875,0.5,0.3125,0.3697916666666667,0.22916666666666666,0.4010416666666667,1,1,1
