term,Df,Deviance,Resid. Df,Resid. Dev,Pr(>Chi),model
NULL,NA,NA,68,72.25491457241385,NA,summer_herbivore_presence
WVclass,2,5.124284903603609,66,67.13062966881024,0.07713929605444732,summer_herbivore_presence
logArea,1,6.302265664176531,65,60.82836400463371,0.012058375881927439,summer_herbivore_presence
NULL,NA,NA,68,0,NA,summer_omnivore_presence
WVclass,2,0,66,4.003091191856234e-10,1,summer_omnivore_presence
logArea,1,0,65,4.003091191856234e-10,1,summer_omnivore_presence
NULL,NA,NA,68,10.453649730471282,NA,summer_carnivore_presence
WVclass,2,2.056442305878427,66,8.397207424592855,0.35764258652470843,summer_carnivore_presence
logArea,1,4.800093252654847e-6,65,8.397202624499602,0.9982519069291298,summer_carnivore_presence
NULL,NA,NA,69,95.60713465806602,NA,winter_herbivore_presence
WVclass,2,5.9946730229891045,67,89.61246163507691,0.0499198524080647,winter_herbivore_presence
logArea,1,11.524253021626762,66,78.08820861345015,6.869404810391294e-4,winter_herbivore_presence
NULL,NA,NA,69,0,NA,winter_omnivore_presence
WVclass,2,0,67,4.061107006230962e-10,1,winter_omnivore_presence
logArea,1,0,66,4.061107006230962e-10,1,winter_omnivore_presence
NULL,NA,NA,69,30.664553050462953,NA,winter_carnivore_presence
WVclass,2,5.548642070189246,67,25.115910980273707,0.062391824170814285,winter_carnivore_presence
logArea,1,6.438324147838571,66,18.677586832435136,0.01116839600673687,winter_carnivore_presence
