obs_zero,exp_zero_prob
0,0.135
0,0.055
0,0.095
0,0.07
0,0.05
0,0.06
1,0.055
0,0.025
0,0.07
0,0.115
0,0.04
0,0.12
0,0.01
0,0.01
0,0.03
0,0.03
0,0.03
0,0.06
0,0.035
0,0.015
0,0.045
0,0.02
0,0.025
0,0.03
1,0.245
0,0.055
0,0.125
0,0
0,0
0,0.025
0,0.055
0,0.005
0,0.055
0,0.1
0,0.025
0,0.085
0,0.185
0,0.04
0,0.095
1,0.35
0,0.055
0,0.13
0,0.215
0,0.045
0,0.135
0,0.125
0,0.035
0,0.07
0,0.09
0,0.035
0,0.05
0,0.04
0,0.05
0,0.055
0,0.21
0,0.06
0,0.155
1,0.175
0,0.045
0,0.125
0,0.105
0,0.03
0,0.105
0,0.27
0,0.055
0,0.14
0,0.125
0,0.02
0,0.095
0,0.015
0,0.005
0,0.03
0,0.1
0,0.025
0,0.095
1,0.305
0,0.07
0,0.13
0,0.105
0,0.065
0,0.105
0,0.035
0,0.025
0,0.04
1,0.22
0,0.05
0,0.1
0,0.04
0,0.025
0,0.045
0,0.05
0,0.035
0,0.07
0,0.095
0,0.065
0,0.065
0,0.015
0,0.02
0,0.05
1,0.145
0,0.03
0,0.075
0,0.2
0,0.055
0,0.105
0,0.325
0,0.04
0,0.18
0,0.04
0,0.03
0,0.09
0,0.03
0,0.03
0,0.055
0,0.02
0,0.02
0,0.08
0,0.005
0,0.005
0,0.04
0,0.005
0,0.02
0,0.03
0,0.06
0,0.03
0,0.05
0,0.015
0,0.02
0,0.025
0,0.005
0,0.005
0,0.015
0,0.03
0,0.025
0,0.055
0,0.065
0,0.02
0,0.12
0,0.115
0,0.03
0,0.085
1,0.285
0,0.055
0,0.125
1,0.065
0,0.065
0,0.07
0,0.08
0,0.03
0,0.075
0,0
0,0.01
0,0.055
0,0.045
0,0.03
0,0.07
0,0.08
0,0.025
0,0.07
0,0.005
0,0.015
0,0.04
1,0.055
0,0.03
1,0.06
0,0.155
0,0.05
0,0.085
1,0.05
0,0.015
0,0.07
0,0.02
0,0.035
0,0.055
1,0.175
0,0.035
0,0.09
0,0.16
0,0.03
0,0.115
0,0.025
0,0.015
0,0.075
0,0.015
0,0.015
0,0.05
1,0.05
0,0.04
0,0.04
0,0.025
0,0.01
0,0.08
0,0.04
0,0.06
0,0.045
0,0.075
0,0.015
0,0.05
1,0.295
0,0.07
0,0.1
0,0.15
0,0.03
0,0.095
1,0.045
0,0.02
0,0.075
