obs_zero,exp_zero_prob
1,0.215
0,0.045
0,0.105
1,0.075
0,0.04
0,0.11
1,0.14
0,0.045
0,0.12
0,0.07
0,0.035
0,0.14
1,0.145
0,0.025
0,0.14
0,0.115
0,0.025
0,0.11
0,0.135
0,0.06
0,0.135
0,0.115
0,0.065
0,0.115
0,0.05
0,0.055
0,0.065
0,0.27
0,0.045
0,0.2
1,0.19
0,0.075
0,0.17
0,0.25
0,0.045
0,0.205
1,0.375
0,0.06
0,0.245
1,0.17
0,0.045
1,0.145
0,0.065
0,0.06
0,0.095
0,0.045
0,0.055
0,0.095
0,0.07
0,0.045
0,0.15
0,0.665
0,0.045
0,0.355
0,0.285
0,0.03
0,0.205
1,0.505
0,0.025
0,0.26
1,0.095
0,0.035
0,0.095
1,0.135
0,0.025
0,0.125
0,0.18
0,0.055
0,0.13
0,0.205
0,0.05
0,0.22
0,0.255
0,0.04
0,0.17
1,0.325
0,0.015
0,0.185
1,0.2
0,0.045
0,0.205
0,0.22
0,0.045
0,0.225
0,0.25
0,0.055
1,0.175
1,0.625
0,0.04
1,0.285
1,0.13
0,0.06
0,0.14
0,0.115
0,0.035
0,0.105
0,0.14
0,0.045
0,0.2
1,0.155
0,0.065
0,0.16
1,0.295
0,0.03
0,0.155
1,0.08
0,0.05
0,0.15
0,0.12
0,0.03
0,0.13
0,0.145
0,0.035
0,0.145
0,0.145
0,0.03
0,0.17
1,0.06
0,0.045
0,0.075
0,0.045
0,0.045
0,0.09
0,0.06
0,0.04
0,0.165
1,0.26
0,0.045
1,0.15
0,0.125
0,0.04
0,0.145
0,0.135
0,0.03
0,0.125
0,0.045
0,0.035
0,0.065
0,0.135
0,0.04
0,0.185
1,0.125
0,0.05
0,0.135
1,0.195
0,0.035
0,0.15
0,0.19
0,0.06
0,0.17
0,0.08
0,0.045
0,0.165
1,0.195
0,0.055
0,0.14
0,0.14
0,0.045
0,0.095
1,0.19
0,0.04
0,0.19
0,0.12
0,0.06
0,0.135
0,0.325
0,0.04
0,0.2
1,0.115
0,0.035
0,0.16
0,0.095
0,0.045
0,0.115
1,0.2
0,0.05
0,0.205
1,0.185
0,0.03
0,0.205
1,0.43
0,0.04
0,0.255
0,0.11
0,0.025
0,0.135
1,0.12
0,0.05
0,0.135
0,0.115
0,0.05
0,0.115
0,0.12
0,0.04
0,0.13
0,0.03
0,0.07
0,0.07
1,0.165
0,0.05
0,0.165
1,0.13
0,0.045
0,0.12
0,0.095
0,0.05
0,0.165
0,0.145
0,0.05
0,0.145
