obs_zero,exp_zero_prob
1,0.37
0,0
0,0.115
1,0.125
0,0.005
0,0.005
1,0.25
0,0.005
0,0.05
0,0.09
0,0.005
0,0.015
1,0.18
0,0.005
0,0.055
0,0.155
0,0.01
0,0.02
0,0.195
0,0.01
0,0.07
0,0.205
0,0
0,0.025
0,0.035
0,0
0,0.01
0,0.42
0,0.01
0,0.08
1,0.28
0,0.015
0,0.075
0,0.41
0,0.005
0,0.085
1,0.545
0,0.025
0,0.125
1,0.31
0,0.01
1,0.065
0,0.15
0,0.01
0,0.02
0,0.15
0,0.005
0,0.015
0,0.125
0,0.015
0,0.005
0,0.765
0,0.01
0,0.215
0,0.455
0,0.025
0,0.125
1,0.635
0,0.03
0,0.22
1,0.205
0,0.005
0,0.015
1,0.305
0,0.005
0,0.06
0,0.235
0,0.025
0,0.055
0,0.315
0,0.015
0,0.095
0,0.395
0,0.01
0,0.075
1,0.55
0,0.005
0,0.145
1,0.31
0,0.005
0,0.09
0,0.42
0,0.01
0,0.08
0,0.31
0,0.005
1,0.08
1,0.66
0,0.04
1,0.245
1,0.315
0,0.005
0,0.045
0,0.25
0,0
0,0.015
0,0.26
0,0.005
0,0.035
1,0.33
0,0.005
0,0.08
1,0.435
0,0.01
0,0.105
1,0.26
0,0.015
0,0.04
0,0.23
0,0.01
0,0.02
0,0.245
0,0
0,0.04
0,0.33
0,0
0,0.075
1,0.105
0,0.005
0,0.02
0,0.085
0,0.01
0,0
0,0.175
0,0.01
0,0.02
1,0.305
0,0.005
1,0.07
0,0.31
0,0
0,0.045
0,0.18
0,0
0,0.035
0,0.02
0,0.02
0,0
0,0.26
0,0.015
0,0.045
1,0.245
0,0.01
0,0.05
1,0.375
0,0.01
0,0.045
0,0.355
0,0.02
0,0.075
0,0.215
0,0.005
0,0.015
1,0.325
0,0.02
0,0.05
0,0.23
0,0.01
0,0.06
1,0.295
0,0.015
0,0.055
0,0.325
0,0.015
0,0.045
0,0.48
0,0.015
0,0.13
1,0.26
0,0.005
0,0.055
0,0.25
0,0.02
0,0.045
1,0.345
0,0.005
0,0.065
1,0.455
0,0.005
0,0.1
1,0.67
0,0.01
0,0.2
0,0.24
0,0.005
0,0.04
1,0.265
0,0.01
0,0.06
0,0.21
0,0
0,0.03
0,0.195
0,0.02
0,0.03
0,0.06
0,0
0,0.005
1,0.265
0,0.005
0,0.06
1,0.25
0,0.01
0,0.04
0,0.24
0,0.01
0,0.04
0,0.335
0,0.01
0,0.065
