obs_zero,exp_zero_prob
1,0.45
0,0.005
0,0.06
1,0.245
0,0.01
0,0.045
1,0.41
0,0.01
0,0.08
0,0.12
0,0.015
0,0.02
1,0.285
0,0.015
0,0.04
0,0.235
0,0.015
0,0.025
0,0.085
0,0.01
0,0
0,0.075
0,0.005
0,0.015
0,0.01
0,0
0,0.01
0,0.365
0,0.01
0,0.095
1,0.405
0,0.02
0,0.055
0,0.52
0,0
0,0.075
1,0.555
0,0.01
0,0.085
1,0.44
0,0
1,0.125
0,0.11
0,0.01
0,0.015
0,0.14
0,0.005
0,0.025
0,0.095
0,0
0,0.035
0,0.715
0,0.03
0,0.19
0,0.585
0,0.01
0,0.15
1,0.645
0,0.02
0,0.155
1,0.455
0,0.005
0,0.095
1,0.39
0,0.01
0,0.065
0,0.36
0,0.005
0,0.07
0,0.225
0,0.005
0,0.035
0,0.42
0,0.005
0,0.065
1,0.425
0,0.01
0,0.065
1,0.475
0,0.005
0,0.13
0,0.4
0,0
0,0.085
0,0.545
0,0.005
1,0.13
1,0.765
0,0.005
1,0.16
1,0.38
0,0
0,0.06
0,0.115
0,0
0,0.03
0,0.095
0,0.02
0,0.01
1,0.43
0,0
0,0.085
1,0.485
0,0.005
0,0.075
1,0.26
0,0.025
0,0.055
0,0.25
0,0.01
0,0.045
0,0.32
0,0.03
0,0.065
0,0.245
0,0.015
0,0.035
1,0.155
0,0.005
0,0.01
0,0.04
0,0.01
0,0.02
0,0.225
0,0.005
0,0.03
1,0.46
0,0.02
1,0.105
0,0.37
0,0.02
0,0.08
0,0.14
0,0.005
0,0.025
0,0.01
0,0
0,0
0,0.15
0,0.005
0,0.025
1,0.33
0,0
0,0.065
1,0.495
0,0
0,0.11
0,0.46
0,0.015
0,0.055
0,0.22
0,0.005
0,0.025
1,0.41
0,0.01
0,0.085
0,0.315
0,0.01
0,0.08
1,0.39
0,0.005
0,0.09
0,0.175
0,0.005
0,0.025
0,0.43
0,0.01
0,0.11
1,0.3
0,0.015
0,0.06
0,0.295
0,0.005
0,0.065
1,0.545
0,0.005
0,0.08
1,0.435
0,0.005
0,0.11
1,0.525
0,0.01
0,0.115
0,0.26
0,0
0,0.065
1,0.325
0,0.005
0,0.005
0,0.175
0,0.005
0,0.03
0,0.065
0,0.005
0,0.015
0,0.19
0,0.02
0,0.05
1,0.45
0,0.015
0,0.065
1,0.28
0,0.005
0,0.03
0,0.16
0,0.01
0,0.05
0,0.275
0,0.015
0,0.06
